Feature_ID,BL21_12hr-BL21_3hr_logFC,BL21_12hr-control_12hr_logFC,BL21_3hr-control_3hr_logFC,CC_12hr-CC_3hr_logFC,CC_12hr-control_12hr_logFC,CC_3hr-control_3hr_logFC,control_12hr-control_3hr_logFC,LPS_12hr-control_12hr_logFC,LPS_12hr-LPS_3hr_logFC,LPS_3hr-control_3hr_logFC
ENSG00000005249,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,overexpr,underexpr,overexpr,underexpr
ENSG00000005302,overexpr,underexpr,overexpr,overexpr,underexpr,underexpr,overexpr,overexpr,overexpr,overexpr
ENSG00000005339,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr
ENSG00000005436,underexpr,underexpr,underexpr,overexpr,overexpr,overexpr,overexpr,underexpr,overexpr,underexpr
ENSG00000005448,underexpr,underexpr,overexpr,overexpr,underexpr,underexpr,overexpr,overexpr,overexpr,overexpr
ENSG00000005469,overexpr,overexpr,underexpr,overexpr,underexpr,overexpr,overexpr,overexpr,overexpr,underexpr
ENSG00000005483,overexpr,overexpr,underexpr,underexpr,underexpr,overexpr,overexpr,underexpr,underexpr,underexpr
ENSG00000005486,overexpr,overexpr,underexpr,overexpr,overexpr,underexpr,underexpr,overexpr,overexpr,underexpr
ENSG00000005700,underexpr,overexpr,overexpr,underexpr,underexpr,underexpr,underexpr,underexpr,overexpr,underexpr
ENSG00000005801,overexpr,overexpr,underexpr,underexpr,overexpr,underexpr,underexpr,overexpr,underexpr,underexpr
ENSG00000005810,overexpr,overexpr,underexpr,overexpr,underexpr,underexpr,overexpr,underexpr,overexpr,underexpr
ENSG00000005812,underexpr,underexpr,underexpr,underexpr,overexpr,overexpr,underexpr,underexpr,underexpr,underexpr
ENSG00000005882,overexpr,underexpr,overexpr,overexpr,underexpr,underexpr,overexpr,underexpr,overexpr,underexpr
ENSG00000005884,overexpr,overexpr,underexpr,overexpr,overexpr,underexpr,overexpr,overexpr,overexpr,underexpr
ENSG00000005889,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr,underexpr
ENSG00000005893,underexpr,underexpr,overexpr,overexpr,overexpr,overexpr,overexpr,overexpr,overexpr,overexpr
ENSG00000005961,overexpr,underexpr,underexpr,overexpr,underexpr,underexpr,overexpr,underexpr,underexpr,underexpr
ENSG00000006007,overexpr,underexpr,underexpr,overexpr,overexpr,overexpr,overexpr,overexpr,overexpr,overexpr
